geomid,naics,workers
87283004dffffff,Education,233.795
87283004dffffff,Energy,22.473
87283004dffffff,Financial,47.069
87283004dffffff,Health,462.727
87283004dffffff,Hospitality,225.453
87283004dffffff,Information,28.77
87283004dffffff,Manufacturing,102.456
87283004dffffff,Professional Service,94.266
87283004dffffff,Public Administration,29.343
87283004dffffff,Real Estate,40.88
87283004dffffff,Retail,174.424
87283004dffffff,Transportation,51.813
87283004dffffff,Wholesale,60.512
872830052ffffff,Art/Culture,3.181
872830052ffffff,Business Support,0.733
872830052ffffff,Construction,1.366
872830052ffffff,Education,0.984
872830052ffffff,Energy,0.99
872830052ffffff,Financial,2.065
872830052ffffff,Health,2.134
872830052ffffff,Hospitality,15.986
872830052ffffff,Information,0.365
872830052ffffff,Manufacturing,0.013
872830052ffffff,Professional Service,1.742
872830052ffffff,Public Administration,5.279
872830052ffffff,Real Estate,0.99
872830052ffffff,Retail,6.738
872830052ffffff,Transportation,2.104
872830052ffffff,Wholesale,1.718
872830053ffffff,Art/Culture,6.633
872830053ffffff,Business Support,2.87
872830053ffffff,Construction,3.844
872830053ffffff,Education,1.837
872830053ffffff,Energy,0.824
872830053ffffff,Financial,5.013
872830053ffffff,Health,4.99
872830053ffffff,Hospitality,17.449
872830053ffffff,Information,1.44
872830053ffffff,Manufacturing,2.036
872830053ffffff,Professional Service,4.653
872830053ffffff,Public Administration,8.083
872830053ffffff,Real Estate,0.855
872830053ffffff,Retail,8.041
872830053ffffff,Transportation,5.495
872830053ffffff,Wholesale,3.126
872830054ffffff,Art/Culture,0.386
872830054ffffff,Business Support,0.018
872830054ffffff,Construction,1.027
872830054ffffff,Education,2.03
872830054ffffff,Energy,0.184
872830054ffffff,Financial,0.206
872830054ffffff,Health,1.251
872830054ffffff,Hospitality,0.802
872830054ffffff,Information,0.197
872830054ffffff,Manufacturing,0.274
872830054ffffff,Professional Service,0.825
872830054ffffff,Public Administration,0.999
872830054ffffff,Real Estate,0.002
872830054ffffff,Retail,0.201
872830054ffffff,Transportation,0.626
872830054ffffff,Wholesale,0.395
872830056ffffff,Art/Culture,0.017
872830056ffffff,Business Support,0.08
872830056ffffff,Construction,0.162
872830056ffffff,Education,0.119
872830056ffffff,Financial,0.067
872830056ffffff,Health,0.137
872830056ffffff,Hospitality,0.168
872830056ffffff,Information,0.022
872830056ffffff,Manufacturing,0.279
872830056ffffff,Professional Service,0.117
872830056ffffff,Public Administration,0.061
872830056ffffff,Real Estate,0.011
872830056ffffff,Retail,0.124
872830056ffffff,Transportation,0.084
872830056ffffff,Wholesale,0.045
87283005affffff,Art/Culture,0.574
87283005affffff,Business Support,0.007
87283005affffff,Education,1.384
87283005affffff,Health,1.943
87283005affffff,Hospitality,3.122
87283005affffff,Manufacturing,0.02
87283005affffff,Public Administration,1.408
87283005affffff,Retail,1.539
87283005affffff,Transportation,0.862
87283005effffff,Business Support,0.006
87283005effffff,Construction,0.055
87283005effffff,Education,0.765
87283005effffff,Health,0.056
87283005effffff,Hospitality,0.382
87283005effffff,Manufacturing,0.001
87283005effffff,Retail,0.011
87283005effffff,Transportation,0.011
872830068ffffff,Art/Culture,11.51
872830068ffffff,Business Support,11.701
872830068ffffff,Construction,31.675
872830068ffffff,Corporate,0.037
872830068ffffff,Education,22.986
872830068ffffff,Energy,4.982
872830068ffffff,Financial,8.173
872830068ffffff,Health,47.107
872830068ffffff,Hospitality,43.139
872830068ffffff,Information,3.909
872830068ffffff,Manufacturing,64.18
872830068ffffff,Professional Service,13.936
872830068ffffff,Public Administration,6.228
872830068ffffff,Real Estate,5.822
872830068ffffff,Retail,29.717
872830068ffffff,Transportation,16.028
872830068ffffff,Wholesale,10.9
872830072ffffff,Art/Culture,8.218
872830072ffffff,Business Support,12.058
872830072ffffff,Construction,34.034
872830072ffffff,Corporate,0.011
872830072ffffff,Education,51.471
872830072ffffff,Energy,3.109
872830072ffffff,Financial,8.321
872830072ffffff,Health,113.268
872830072ffffff,Hospitality,19.089
872830072ffffff,Information,2.555
872830072ffffff,Manufacturing,34.377
872830072ffffff,Professional Service,11.726
872830072ffffff,Public Administration,29.842
872830072ffffff,Real Estate,2.521
872830072ffffff,Retail,19.484
872830072ffffff,Transportation,27.981
872830072ffffff,Wholesale,5.076
872830081ffffff,Education,0.025
872830081ffffff,Health,1.181
872830081ffffff,Public Administration,0.053
872830081ffffff,Retail,0.556
872830083ffffff,Art/Culture,1.477
872830083ffffff,Business Support,0.39
872830083ffffff,Construction,0.744
872830083ffffff,Education,1.592
872830083ffffff,Health,3.446
872830083ffffff,Hospitality,0.432
872830083ffffff,Manufacturing,0.429
872830083ffffff,Professional Service,0.381
872830083ffffff,Public Administration,0.989
872830083ffffff,Real Estate,0.016
872830083ffffff,Retail,0.964
872830083ffffff,Transportation,0.739
872830084ffffff,Art/Culture,0.258
872830084ffffff,Business Support,0.526
872830084ffffff,Education,1.769
872830084ffffff,Financial,0.258
872830084ffffff,Health,5.337
872830084ffffff,Hospitality,3.01
872830084ffffff,Manufacturing,0.024
872830084ffffff,Professional Service,0.024
872830084ffffff,Public Administration,1.592
872830084ffffff,Real Estate,0.984
872830084ffffff,Retail,1.749
872830084ffffff,Transportation,0.92
872830084ffffff,Wholesale,0.258
872830085ffffff,Art/Culture,0.466
872830085ffffff,Business Support,0.451
872830085ffffff,Construction,3.337
872830085ffffff,Education,2.755
872830085ffffff,Energy,0.834
872830085ffffff,Health,12.911
872830085ffffff,Hospitality,2.12
872830085ffffff,Information,0.466
872830085ffffff,Public Administration,0.451
872830085ffffff,Real Estate,0.834
872830085ffffff,Retail,6.661
872830085ffffff,Transportation,3.803
872830085ffffff,Wholesale,2.503
87283008dffffff,Art/Culture,0.018
87283008dffffff,Business Support,0.018
87283008dffffff,Construction,0.029
87283008dffffff,Education,0.395
87283008dffffff,Financial,0.009
87283008dffffff,Health,2.705
87283008dffffff,Hospitality,0.091
87283008dffffff,Information,0.0
87283008dffffff,Manufacturing,0.04
87283008dffffff,Professional Service,0.016
87283008dffffff,Public Administration,0.751
87283008dffffff,Real Estate,0.009
87283008dffffff,Retail,0.868
87283008dffffff,Transportation,0.018
87283008dffffff,Wholesale,0.009
872830092ffffff,Construction,0.746
872830092ffffff,Education,0.383
872830092ffffff,Health,3.253
872830092ffffff,Hospitality,0.031
872830092ffffff,Manufacturing,0.155
872830092ffffff,Retail,0.031
872830094ffffff,Art/Culture,1.472
872830094ffffff,Construction,3.293
872830094ffffff,Education,0.806
872830094ffffff,Health,5.153
872830094ffffff,Hospitality,2.278
872830094ffffff,Information,1.472
872830094ffffff,Manufacturing,0.35
872830094ffffff,Public Administration,1.472
872830094ffffff,Retail,4.487
872830094ffffff,Transportation,0.736
872830096ffffff,Art/Culture,0.475
872830096ffffff,Business Support,0.595
872830096ffffff,Construction,0.932
872830096ffffff,Education,1.558
872830096ffffff,Health,2.999
872830096ffffff,Hospitality,2.247
872830096ffffff,Information,0.443
872830096ffffff,Manufacturing,4.642
872830096ffffff,Professional Service,0.639
872830096ffffff,Public Administration,2.414
872830096ffffff,Retail,2.139
872830096ffffff,Transportation,0.238
872830098ffffff,Art/Culture,1.528
872830098ffffff,Business Support,0.39
872830098ffffff,Construction,0.57
872830098ffffff,Education,0.594
872830098ffffff,Financial,0.78
872830098ffffff,Health,3.087
872830098ffffff,Hospitality,4.844
872830098ffffff,Manufacturing,0.124
872830098ffffff,Professional Service,0.717
872830098ffffff,Public Administration,1.559
872830098ffffff,Real Estate,0.39
872830098ffffff,Retail,2.364
872830098ffffff,Transportation,0.179
872830098ffffff,Wholesale,0.39
872830099ffffff,Art/Culture,0.707
872830099ffffff,Business Support,0.191
872830099ffffff,Construction,3.113
872830099ffffff,Education,0.395
872830099ffffff,Financial,0.383
872830099ffffff,Health,2.32
